"Elapsed Time", "Heartrate"
0, 0
1000, 86
2000, 87
3000, 88
4000, 89
5000, 90
6000, 90
7000, 92
8000, 94
9000, 96
10000, 97
11000, 98
12000, 98
13000, 98
14000, 98
15000, 98
16000, 97
17000, 97
18000, 97
19000, 97
20000, 97
21000, 97
22000, 97
23000, 97
24000, 97
25000, 96
26000, 95
27000, 95
28000, 94
29000, 94
30000, 93
31000, 93
32000, 93
33000, 93
34000, 94
35000, 94
36000, 94
37000, 94
38000, 95
39000, 95
40000, 96
41000, 96
42000, 96
43000, 96
44000, 97
45000, 97
46000, 97
47000, 97
48000, 97
49000, 98
50000, 98
51000, 99
52000, 99
53000, 99
54000, 100
55000, 100
56000, 100
57000, 100
58000, 101
59000, 101
60000, 101
61000, 101
62000, 102
63000, 102
64000, 102
65000, 102
66000, 102
67000, 102
68000, 101
69000, 101
70000, 100
71000, 100
72000, 100
73000, 99
74000, 99
75000, 98
76000, 98
77000, 99
78000, 99
79000, 99
80000, 99
81000, 100
82000, 100
83000, 100
84000, 100
85000, 100
86000, 100
87000, 101
88000, 100
89000, 100
90000, 100
91000, 100
92000, 100
93000, 100
94000, 100
95000, 100
96000, 100
97000, 100
98000, 100
99000, 101
100000, 101
101000, 101
102000, 101
103000, 101
104000, 101
105000, 101
106000, 101
107000, 101
108000, 101
109000, 101
110000, 101
111000, 102
112000, 102
113000, 102
114000, 102
115000, 102
116000, 102
117000, 102
118000, 102
119000, 102
120000, 102
121000, 102
122000, 103
123000, 104
124000, 104
125000, 105
126000, 105
127000, 106
128000, 106
129000, 106
130000, 105
131000, 105
132000, 104
133000, 104
134000, 103
135000, 103
136000, 103
137000, 103
138000, 103
139000, 104
140000, 104
141000, 104
142000, 104
143000, 105
144000, 105
145000, 105
146000, 106
147000, 106
148000, 107
149000, 108
150000, 108
151000, 108
152000, 108
153000, 109
154000, 109
155000, 109
156000, 109
157000, 109
158000, 109
159000, 110
160000, 110
161000, 110
162000, 110
163000, 111
164000, 111
165000, 111
166000, 111
167000, 112
168000, 112
169000, 112
170000, 113
171000, 113
172000, 113
173000, 113
174000, 114
175000, 115
176000, 116
177000, 116
178000, 116
179000, 116
180000, 116
181000, 116
182000, 116
183000, 116
184000, 115
185000, 115
186000, 116
187000, 116
188000, 116
189000, 116
190000, 116
191000, 116
192000, 116
193000, 116
194000, 116
195000, 116
196000, 116
197000, 116
198000, 116
199000, 116
200000, 116
201000, 116
202000, 116
203000, 116
204000, 117
205000, 117
206000, 117
207000, 118
208000, 119
209000, 119
210000, 119
211000, 119
212000, 120
213000, 120
214000, 120
215000, 120
216000, 120
217000, 120
218000, 120
219000, 120
220000, 120
221000, 120
222000, 120
223000, 120
224000, 120
225000, 121
226000, 121
227000, 121
228000, 121
229000, 121
230000, 121
231000, 121
232000, 121
233000, 121
234000, 121
235000, 121
236000, 121
237000, 120
238000, 120
239000, 119
240000, 119
241000, 117
242000, 117
243000, 116
244000, 116
245000, 116
246000, 117
247000, 117
248000, 117
249000, 118
250000, 118
251000, 118
252000, 118
253000, 118
254000, 118
255000, 118
256000, 118
257000, 117
258000, 117
259000, 117
260000, 117
261000, 118
262000, 118
263000, 119
264000, 119
265000, 119
266000, 120
267000, 120
268000, 120
269000, 120
270000, 120
271000, 120
272000, 121
273000, 121
274000, 120
275000, 120
276000, 120
277000, 120
278000, 121
279000, 121
280000, 121
281000, 121
282000, 121
283000, 121
284000, 121
285000, 120
286000, 120
287000, 120
288000, 120
289000, 120
290000, 120
291000, 119
292000, 119
293000, 120
294000, 120
295000, 120
296000, 120
297000, 121
298000, 121
299000, 121
300000, 121
301000, 121
302000, 120
303000, 120
304000, 120
305000, 120
306000, 121
307000, 121
308000, 121
309000, 121
310000, 121
311000, 121
312000, 121
313000, 121
314000, 121
315000, 120
316000, 120
317000, 120
318000, 120
319000, 120
320000, 120
321000, 120
322000, 120
323000, 120
324000, 120
325000, 120
326000, 120
327000, 120
328000, 120
329000, 120
330000, 119
331000, 119
332000, 118
333000, 118
334000, 118
335000, 118
336000, 118
337000, 119
338000, 119
339000, 120
340000, 121
341000, 121
342000, 122
343000, 122
344000, 122
345000, 122
346000, 122
347000, 122
348000, 122
349000, 122
350000, 121
351000, 121
352000, 121
353000, 121
354000, 121
355000, 121
356000, 121
357000, 121
358000, 122
359000, 122
360000, 122
361000, 123
362000, 123
363000, 123
364000, 123
365000, 123
366000, 123
367000, 123
368000, 123
369000, 123
370000, 123
371000, 123
372000, 122
373000, 122
374000, 121
375000, 121
376000, 121
377000, 121
378000, 120
379000, 120
380000, 120
381000, 120
382000, 120
383000, 120
384000, 120
385000, 120
386000, 120
387000, 120
388000, 120
389000, 120
390000, 120
391000, 120
392000, 120
393000, 120
394000, 120
395000, 120
396000, 121
397000, 121
398000, 121
399000, 122
400000, 122
401000, 122
402000, 123
403000, 124
404000, 124
405000, 124
406000, 125
407000, 125
408000, 125
409000, 125
410000, 125
411000, 125
412000, 125
413000, 126
414000, 126
415000, 126
416000, 126
417000, 126
418000, 126
419000, 126
420000, 126
421000, 126
422000, 126
423000, 125
424000, 125
425000, 125
426000, 125
427000, 124
428000, 124
429000, 124
430000, 124
431000, 124
432000, 124
433000, 125
434000, 125
435000, 125
436000, 126
437000, 127
438000, 127
439000, 127
440000, 128
441000, 128
442000, 128
443000, 128
444000, 128
445000, 128
446000, 129
447000, 129
448000, 129
449000, 129
450000, 130
451000, 130
452000, 130
453000, 130
454000, 131
455000, 131
456000, 131
457000, 132
458000, 132
459000, 132
460000, 132
461000, 132
462000, 131
463000, 131
464000, 131
465000, 131
466000, 130
467000, 130
468000, 130
469000, 129
470000, 129
471000, 129
472000, 128
473000, 127
474000, 127
475000, 127
476000, 128
477000, 128
478000, 128
479000, 129
480000, 129
481000, 129
482000, 130
483000, 130
484000, 130
485000, 130
486000, 131
487000, 131
488000, 132
489000, 132
490000, 133
491000, 134
492000, 134
493000, 134
494000, 135
495000, 135
496000, 135
497000, 135
498000, 134
499000, 134
500000, 133
501000, 133
502000, 133
503000, 133
504000, 133
505000, 133
506000, 133
507000, 133
508000, 133
509000, 133
510000, 133
511000, 133
512000, 133
513000, 133
514000, 133
515000, 132
516000, 132
517000, 132
518000, 131
519000, 131
520000, 131
521000, 131
522000, 132
523000, 132
524000, 132
525000, 132
526000, 131
527000, 131
528000, 131
529000, 131
530000, 131
531000, 131
532000, 131
533000, 130
534000, 130
535000, 130
536000, 131
537000, 131
538000, 131
539000, 131
540000, 131
541000, 131
542000, 131
543000, 130
544000, 129
545000, 129
546000, 129
547000, 129
548000, 129
549000, 129
550000, 129
551000, 129
552000, 129
553000, 129
554000, 128
555000, 128
556000, 128
557000, 127
558000, 127
559000, 127
560000, 127
561000, 127
562000, 128
563000, 128
564000, 128
565000, 128
566000, 128
567000, 128
568000, 128
569000, 128
570000, 128
571000, 129
572000, 129
573000, 129
574000, 130
575000, 130
576000, 129
577000, 129
578000, 129
579000, 128
580000, 128
581000, 127
582000, 127
583000, 127
584000, 127
585000, 127
586000, 127
587000, 127
588000, 127
589000, 127
590000, 126
591000, 126
592000, 126
593000, 126
594000, 126
595000, 126
596000, 126
597000, 126
598000, 126
599000, 126
600000, 126
601000, 126
602000, 126
603000, 127
604000, 127
605000, 128
606000, 129
607000, 130
608000, 130
609000, 130
610000, 130
611000, 131
612000, 131
613000, 132
614000, 133
615000, 134
616000, 134
617000, 134
618000, 134
619000, 134
620000, 134
621000, 133
622000, 133
623000, 133
624000, 133
625000, 134
626000, 134
627000, 134
628000, 133
629000, 133
630000, 133
631000, 133
632000, 134
633000, 134
634000, 134
635000, 134
636000, 135
637000, 135
638000, 135
639000, 135
640000, 136
641000, 135
642000, 135
643000, 135
644000, 135
645000, 134
646000, 134
647000, 134
648000, 134
649000, 133
650000, 133
651000, 133
652000, 132
653000, 132
654000, 132
655000, 132
656000, 132
657000, 132
658000, 132
659000, 132
660000, 133
661000, 133
662000, 133
663000, 133
664000, 134
665000, 134
666000, 135
667000, 135
668000, 136
669000, 137
670000, 138
671000, 138
672000, 138
673000, 139
674000, 139
675000, 139
676000, 139
677000, 140
678000, 140
679000, 140
680000, 140
681000, 141
682000, 141
683000, 142
684000, 143
685000, 143
686000, 144
687000, 144
688000, 144
689000, 145
690000, 145
691000, 145
692000, 145
693000, 145
694000, 146
695000, 146
696000, 146
697000, 147
698000, 148
699000, 148
700000, 149
701000, 149
702000, 149
703000, 150
704000, 150
705000, 150
706000, 151
707000, 151
708000, 152
709000, 152
710000, 152
711000, 152
712000, 153
713000, 153
714000, 153
715000, 153
716000, 153
717000, 153
718000, 153
719000, 153
720000, 153
721000, 153
722000, 153
723000, 152
724000, 152
725000, 151
726000, 150
727000, 150
728000, 150
729000, 150
730000, 150
731000, 150
732000, 150
733000, 150
734000, 150
735000, 150
736000, 150
737000, 150
738000, 150
739000, 150
740000, 150
741000, 151
742000, 151
743000, 152
744000, 152
745000, 153
746000, 153
747000, 153
748000, 153
749000, 154
750000, 154
751000, 155
752000, 155
753000, 156
754000, 156
755000, 156
756000, 157
757000, 157
758000, 157
759000, 158
760000, 158
761000, 158
762000, 159
763000, 159
764000, 159
765000, 159
766000, 159
767000, 159
768000, 159
769000, 159
770000, 159
771000, 159
772000, 159
773000, 159
774000, 159
775000, 159
776000, 159
777000, 159
778000, 158
779000, 158
780000, 158
781000, 158
782000, 158
783000, 158
784000, 157
785000, 157
786000, 157
787000, 157
788000, 157
789000, 157
790000, 157
791000, 156
792000, 156
793000, 156
794000, 156
795000, 156
796000, 156
797000, 156
798000, 156
799000, 156
800000, 156
801000, 156
802000, 156
803000, 156
804000, 156
805000, 157
806000, 157
807000, 157
808000, 157
809000, 157
810000, 157
811000, 157
812000, 157
813000, 157
814000, 158
815000, 158
816000, 158
817000, 158
818000, 158
819000, 158
820000, 158
821000, 158
822000, 158
823000, 158
824000, 158
825000, 157
826000, 157
827000, 156
